pos,neg,pos_count,neg_count
positive,negative,1,0
positive,negative,2,0
positive,negative,3,0
positive,negative,3,1
positive,negative,3,1
positive,negative,3,1
positive,negative,3,1
positive,negative,3,1
positive,negative,3,1
positive,negative,4,1
positive,negative,4,1
positive,negative,4,1
positive,negative,4,1
positive,negative,5,1
positive,negative,6,1
positive,negative,7,1
positive,negative,8,1
positive,negative,9,1
positive,negative,9,2
positive,negative,9,2
positive,negative,9,2
positive,negative,9,2
positive,negative,9,2
positive,negative,9,2
positive,negative,10,2
positive,negative,10,2
positive,negative,10,2
positive,negative,10,2
positive,negative,11,2
positive,negative,12,2
positive,negative,13,2
positive,negative,14,2
positive,negative,15,2
positive,negative,15,3
positive,negative,15,3
positive,negative,15,3
positive,negative,15,3
positive,negative,15,3
positive,negative,15,3
positive,negative,16,3
positive,negative,16,3
positive,negative,16,3
positive,negative,16,3
positive,negative,17,3
positive,negative,18,3
positive,negative,19,3
positive,negative,20,3
positive,negative,21,3
positive,negative,21,4
positive,negative,21,4
positive,negative,21,4
positive,negative,21,4
positive,negative,21,4
positive,negative,21,4
positive,negative,22,4
positive,negative,22,4
positive,negative,22,4
positive,negative,22,4
positive,negative,23,4
positive,negative,24,4
positive,negative,25,4
positive,negative,26,4
positive,negative,27,4
positive,negative,27,5
positive,negative,27,5
positive,negative,27,5
positive,negative,27,5
positive,negative,27,5
positive,negative,27,5
positive,negative,28,5
positive,negative,28,5
positive,negative,28,5
positive,negative,28,5
positive,negative,29,5
positive,negative,30,5
positive,negative,31,5
positive,negative,32,5
positive,negative,33,5
positive,negative,33,6
positive,negative,33,6
positive,negative,33,6
positive,negative,33,6
positive,negative,33,6
positive,negative,33,6
positive,negative,34,6
positive,negative,34,6
positive,negative,34,6
positive,negative,34,6
positive,negative,35,6
positive,negative,36,6
positive,negative,37,6
positive,negative,38,6
positive,negative,39,6
positive,negative,39,7
positive,negative,39,7
positive,negative,39,7
positive,negative,39,7
positive,negative,39,7
positive,negative,39,7
positive,negative,40,7
positive,negative,40,7
positive,negative,40,7
positive,negative,40,7
positive,negative,41,7
positive,negative,42,7
positive,negative,43,7
positive,negative,44,7
positive,negative,45,7
positive,negative,45,8
positive,negative,45,8
positive,negative,45,8
positive,negative,45,8
positive,negative,45,8
positive,negative,45,8
positive,negative,46,8
positive,negative,46,8
positive,negative,46,8
positive,negative,46,8
positive,negative,47,8
positive,negative,48,8
positive,negative,49,8
positive,negative,50,8
positive,negative,51,8
positive,negative,51,9
positive,negative,51,9
positive,negative,51,9
positive,negative,51,9
positive,negative,51,9
positive,negative,51,9
positive,negative,52,9
positive,negative,52,9
positive,negative,52,9
positive,negative,52,9
positive,negative,53,9
positive,negative,54,9
positive,negative,55,9
positive,negative,56,9
positive,negative,57,9
positive,negative,57,10
positive,negative,57,10
positive,negative,57,10
positive,negative,57,10
positive,negative,57,10
positive,negative,57,10
positive,negative,58,10
positive,negative,58,10
positive,negative,58,10
positive,negative,58,10
positive,negative,59,10
positive,negative,60,10
positive,negative,61,10
positive,negative,62,10
positive,negative,63,10
positive,negative,63,11
positive,negative,63,11
positive,negative,63,11
positive,negative,63,11
positive,negative,63,11
positive,negative,63,11
positive,negative,64,11
positive,negative,64,11
positive,negative,64,11
positive,negative,64,11
positive,negative,65,11
positive,negative,66,11
positive,negative,67,11
positive,negative,68,11
positive,negative,69,11
positive,negative,69,12
